rank,name,country,category,sales,profits,assets,marketvalue
1,Citigroup,UnitedStates,Banking,94.71,17.85,1264.03,255.3
2,GeneralElectric,UnitedStates,Conglomerates,134.19,15.59,626.93,328.54
3,AmericanIntlGroup,UnitedStates,Insurance,76.66,6.46,647.66,194.87
4,ExxonMobil,UnitedStates,Oil&gasoperations,222.88,20.96,166.99,277.02
5,BP,UnitedKingdom,Oil&gasoperations,232.57,10.27,177.57,173.54
6,BankofAmerica,UnitedStates,Banking,49.01,10.81,736.45,117.55
7,HSBCGroup,UnitedKingdom,Banking,44.33,6.66,757.6,177.96
8,ToyotaMotor,Japan,Consumerdurables,135.82,7.99,171.71,115.4
9,FannieMae,UnitedStates,Diversifiedfinancials,53.13,6.48,1019.17,76.84
10,Wal-MartStores,UnitedStates,Retailing,256.33,9.05,104.91,243.74
11,UBS,Switzerland,Diversifiedfinancials,48.95,5.15,853.23,85.07
12,INGGroup,Netherlands,Diversifiedfinancials,94.72,4.73,752.49,54.59
13,RoyalDutch/ShellGroup,Netherlands/UnitedKingdom,Oil&gasoperations,133.5,8.4,100.72,163.45
14,BerkshireHathaway,UnitedStates,Insurance,56.22,6.95,172.24,141.14
15,JPMorganChase,UnitedStates,Banking,44.39,4.47,792.7,81.94
16,IBM,UnitedStates,Technologyhardware&equipment,89.13,7.58,104.46,171.54
17,Total,France,Oil&gasoperations,131.64,8.84,87.84,116.64
18,BNPParibas,France,Banking,47.74,4.73,745.09,59.29
19,RoyalBankofScotland,UnitedKingdom,Banking,35.65,4.95,663.45,90.21
20,FreddieMac,UnitedStates,Diversifiedfinancials,46.26,10.09,752.25,44.25
21,DaimlerChrysler,Germany,Consumerdurables,157.13,5.12,195.58,47.43
22,AltriaGroup,UnitedStates,Fooddrink&tobacco,60.7,9.2,96.18,111.02
23,ChevronTexaco,UnitedStates,Oil&gasoperations,112.94,7.43,82.36,92.49
24,Pfizer,UnitedStates,Drugs&biotechnology,40.36,6.2,120.06,285.27
25,WellsFargo,UnitedStates,Banking,31.8,6.2,387.8,97.53
26,VerizonCommun,UnitedStates,Telecommunicationsservices,67.75,2.57,165.97,103.97
27,Barclays,UnitedKingdom,Banking,33.69,4.9,791.54,61.33
28,MorganStanley,UnitedStates,Diversifiedfinancials,33,3.64,580.63,64.81
29,GeneralMotors,UnitedStates,Consumerdurables,185.52,3.82,450,27.47
30,NipponTel&Tel,Japan,Telecommunicationsservices,92.41,2.17,150.87,73
31,Microsoft,UnitedStates,Software&services,34.27,8.88,85.94,287.02
32,Nestle,Switzerland,Fooddrink&tobacco,64.56,5.48,62.15,106.55
33,SBCCommunications,UnitedStates,Telecommunicationsservices,39.16,5.97,100.17,82.93
34,DeutscheBankGroup,Germany,Diversifiedfinancials,58.85,1.53,792.49,50.23
35,SiemensGroup,Germany,Conglomerates,86.62,2.81,85.47,75.77
36,HBOS,UnitedKingdom,Banking,32.68,3.09,571.76,52.87
37,ENI,Italy,Oil&gasoperations,53.29,4.82,67.91,76.13
38,ConocoPhillips,UnitedStates,Oil&gasoperations,90.49,4.83,81.95,46.72
39,BancoSantanderCentral,Spain,Banking,28.7,3.28,442.24,56.78
40,MerrillLynch,UnitedStates,Diversifiedfinancials,26.64,3.47,485.77,57.52
41,Wachovia,UnitedStates,Banking,24.47,4.25,400.87,62.35
42,TimeWarner,UnitedStates,Media,38.08,2.65,121.78,77.95
43,Hewlett-Packard,UnitedStates,Technologyhardware&equipment,73.06,2.54,74.71,70.2
44,Procter&Gamble,UnitedStates,Household&personalproducts,46.99,5.81,53.86,131.89
45,SamsungElectronics,SouthKorea,Semiconductors,50.22,5.95,54.58,72.72
46,Johnson&Johnson,UnitedStates,Drugs&biotechnology,40.01,6.74,46.66,160.96
47,LloydsTSBGroup,UnitedKingdom,Banking,24.48,2.87,406.99,48.11
48,ABN-AmroHolding,Netherlands,Banking,23.64,3.98,704.95,39.29
49,HondaMotor,Japan,Consumerdurables,67.44,3.61,63.09,40.61
50,AmericanExpress,UnitedStates,Diversifiedfinancials,24.17,3,175,68.89
51,NissanMotor,Japan,Consumerdurables,57.77,4.19,60.56,41.71
52,BankOne,UnitedStates,Banking,21.04,3.4,290.01,58.38
53,AXAGroup,France,Insurance,90.1,1,456.13,41.39
54,SocieteGeneraleGroup,France,Banking,35.52,1.61,526.54,40.61
55,PetroChina,China,Oil&gasoperations,29.53,5.67,58.36,90.49
56,GoldmanSachsGroup,UnitedStates,Diversifiedfinancials,22.84,2.54,394.14,50.12
57,BBVA-BancoBilbaoVizcaya,Spain,Banking,24.1,2.81,288.8,44.67
58,Intel,UnitedStates,Semiconductors,30.14,5.64,47.14,196.87
59,MetLife,UnitedStates,Insurance,35.79,2.24,326.84,26.34
60,HomeDepot,UnitedStates,Retailing,62.9,4.04,35.37,82.29
61,Viacom,UnitedStates,Media,25.85,2.47,90.94,68.66
62,Allstate,UnitedStates,Insurance,32.15,2.73,134.14,32.9
63,Merck&Co,UnitedStates,Drugs&biotechnology,30.78,7.33,42.59,108.76
64,NovartisGroup,Switzerland,Drugs&biotechnology,26.77,5.4,46.92,116.43
65,ENEL,Italy,Utilities,38.99,2.11,71.36,46.84
66,Unilever,Netherlands/UnitedKingdom,Fooddrink&tobacco,50.7,2.24,45.49,72.19
67,WashingtonMutual,UnitedStates,Banking,18.01,3.88,275.18,39.69
68,CreditAgricole,France,Banking,31.77,1.12,531.01,38.8
69,DeutschePost,Germany,Transportation,41.23,1.64,169.33,26.83
70,Comcast,UnitedStates,Media,18.35,3.24,109.16,67.3
71,VolkswagenGroup,Germany,Consumerdurables,91.33,2.71,112.87,17.42
72,TokyoElectricPower,Japan,Utilities,41.62,1.4,116.68,30.63
73,MunichRe,Germany,Insurance,45.85,1.14,191.33,26.63
74,BMW-BayerischeMotor,Germany,Consumerdurables,52.23,2.12,58.11,29.03
75,FordMotor,UnitedStates,Consumerdurables,164.2,0.76,312.56,26.29
76,TycoInternational,Bermuda,Conglomerates,37.57,1.19,62.8,58.41
77,USBancorp,UnitedStates,Banking,14.57,3.73,189.29,52.88
78,RocheGroup,Switzerland,Drugs&biotechnology,25.18,2.48,45.77,95.38
79,RoyalBankofCanada,Canada,Banking,18.82,2.28,305.01,31.82
80,GlaxoSmithKline,UnitedKingdom,Drugs&biotechnology,34.16,6.34,29.19,124.79
81,ChinaPetroleum&Chemical,China,Oil&gasoperations,39.16,1.94,45.32,50.09
82,Sony,Japan,Consumerdurables,63.23,0.98,68.04,38
83,Nokia,Finland,Technologyhardware&equipment,37.05,4.52,29.15,104.3
84,BellSouth,UnitedStates,Telecommunicationsservices,22.58,3.59,49.62,54.08
85,WaltDisney,UnitedStates,Media,28.44,1.92,51.52,55.06
86,NatlAustraliaBank,Australia,Banking,15.34,2.69,269.94,36.51
87,Gazprom,Russia,Oil&gasoperations,19.21,3.81,77.15,36.28
88,CarrefourGroup,France,Foodmarkets,96.94,1.45,40.11,37.19
89,CiscoSystems,UnitedStates,Technologyhardware&equipment,19.82,4.35,36.59,166.09
90,FleetBostonFinl,UnitedStates,Banking,14.22,2.13,196.4,47.19
91,RWEGroup,Germany,Utilities,45.68,1.1,97.35,23.76
92,UniCreditoItaliano,Italy,Banking,16.53,1.89,223.6,33.53
93,BTGroup,UnitedKingdom,Telecommunicationsservices,29.58,4.24,44.42,28.73
94,UnitedParcelService,UnitedStates,Transportation,32.81,3.54,28.37,79.62
95,UnitedTechnologies,UnitedStates,Conglomerates,31.03,2.36,34.65,48.77
96,Fortis,Netherlands,Diversifiedfinancials,52.51,0.56,507.98,30.19
97,DowChemical,UnitedStates,Chemicals,32.63,1.74,41.89,39.85
98,AegonInsuranceGroup,Netherlands,Insurance,17.75,1.63,266.59,23.49
99,Dexia,Belgium,Banking,19.62,1.36,368.37,21.64
